library,category,compile_failures
aopalliance:aopalliance:1.0,cannot_find_symbol,2
com.github.lalyos:jfiglet:0.0.8,constructor_mismatch,1
commons-cli:commons-cli:1.2,access_modifier_error,1
commons-cli:commons-cli:1.2,cannot_find_symbol,1
commons-cli:commons-cli:1.2,structure_error,1
commons-cli:commons-cli:1.2,unchecked_exception_not_handled,1
commons-fileupload:commons-fileupload:1.4,access_modifier_error,1
commons-fileupload:commons-fileupload:1.4,cannot_find_symbol,1
commons-fileupload:commons-fileupload:1.4,generic_type_mismatch,1
commons-fileupload:commons-fileupload:1.4,missing_import,6
commons-fileupload:commons-fileupload:1.4,other_compile_error,1
commons-fileupload:commons-fileupload:1.4,structure_error,3
commons-fileupload:commons-fileupload:1.4,unchecked_exception_not_handled,1
commons-logging:commons-logging:1.2,cannot_find_symbol,3
commons-logging:commons-logging:1.2,missing_import,2
commons-logging:commons-logging:1.2,structure_error,3
commons-pool:commons-pool:1.6,access_modifier_error,1
commons-pool:commons-pool:1.6,other_compile_error,2
commons-pool:commons-pool:1.6,structure_error,7
commons-pool:commons-pool:1.6,unchecked_exception_not_handled,1
io.jsonwebtoken:jjwt-jackson:0.11.2,constructor_mismatch,1
io.jsonwebtoken:jjwt-jackson:0.11.2,generic_type_mismatch,1
io.prometheus:simpleclient:0.16.0,access_modifier_error,4
io.prometheus:simpleclient:0.16.0,cannot_find_symbol,12
io.prometheus:simpleclient:0.16.0,other_compile_error,3
jakarta.transaction:jakarta.transaction-api:2.0.1,cannot_find_symbol,1
org.apache.commons:commons-csv:1.8,method_signature_mismatch,1
org.apache.commons:commons-csv:1.8,other_compile_error,1
org.apache.commons:commons-csv:1.8,structure_error,2
org.hjson:hjson:3.0.0,cannot_find_symbol,2
org.hjson:hjson:3.0.0,method_signature_mismatch,2
org.hjson:hjson:3.0.0,other_compile_error,1
org.hjson:hjson:3.0.0,structure_error,1
org.json:json:20250517,access_modifier_error,2
org.json:json:20250517,cannot_find_symbol,1
org.json:json:20250517,other_compile_error,2
org.json:json:20250517,structure_error,5
org.osgi:org.osgi.service.component:1.5.1,access_modifier_error,1
org.skyscreamer:jsonassert:2.0-rc1,cannot_find_symbol,5
org.skyscreamer:jsonassert:2.0-rc1,constructor_mismatch,1
org.skyscreamer:jsonassert:2.0-rc1,method_signature_mismatch,1
org.skyscreamer:jsonassert:2.0-rc1,structure_error,1
org.slf4j:log4j-over-slf4j:2.0.16,access_modifier_error,1
org.slf4j:log4j-over-slf4j:2.0.16,cannot_find_symbol,7
org.slf4j:log4j-over-slf4j:2.0.16,generic_type_mismatch,1
org.slf4j:log4j-over-slf4j:2.0.16,method_signature_mismatch,2
org.slf4j:log4j-over-slf4j:2.0.16,other_compile_error,1
