library,source_file,test_class,stage,category,message
"commons-cli,commons-cli,1.2",org\apache\commons\cli\AlreadySelectedException.java,AlreadySelectedExceptionTest,compile,unchecked_exception_not_handled,"tionTest.java:[10,9] unreported exception org.apache.commons.cli.AlreadySelectedException; must be caught or declared to be thrown [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-cli: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/AlreadySelectedExceptionTest.java:[10,9] unreported exception org.apache.commons.cli.AlreadySelectedException; must be caught or declared to be thrown [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
"commons-cli,commons-cli,1.2",org\apache\commons\cli\BasicParser.java,BasicParserTest,compile,cannot_find_symbol,"ocuments/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/BasicParserTest.java:[36,22] cannot find symbol [ERROR] symbol: variable NullPointerException [ERROR] location: class org.apache.commons.cli.BasicParserTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/BasicParserTest.java:[42,22] cannot find symbol [ERROR] symbol: variable NullPointerException [ERROR] location: class org.apache.commons.cli.BasicParserTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
"commons-cli,commons-cli,1.2",org\apache\commons\cli\Options.java,OptionsTest,compile,cannot_find_symbol,"org.apache.commons.cli.Options [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionsTest.java:[56,42] incompatible types: org.apache.commons.cli.Options cannot be converted to org.apache.commons.cli.Option [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionsTest.java:[65,42] incompatible types: org.apache.commons.cli.Options cannot be converted to org.apache.commons.cli.Option [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
"commons-cli,commons-cli,1.2",org\apache\commons\cli\OptionValidator.java,OptionValidatorTest,compile,cannot_find_symbol,"ration/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionValidatorTest.java:[33,9] cannot find symbol [ERROR] symbol: method assertDoesNotThrow(()->Option[...]AbC"")) [ERROR] location: class org.apache.commons.cli.OptionValidatorTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/OptionValidatorTest.java:[34,9] cannot find symbol [ERROR] symbol: method assertDoesNotThrow(()->Option[...]123"")) [ERROR] location: class org.apache.commons.cli.OptionValidatorTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
"commons-cli,commons-cli,1.2",org\apache\commons\cli\Parser.java,ParserTest,compile,cannot_find_symbol,"failure: [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/ParserTest.java:[19,22] cannot find symbol [ERROR] symbol: class DefaultParser [ERROR] location: class org.apache.commons.cli.ParserTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/ParserTest.java:[113,62] cannot find symbol [ERROR] symbol: method setRequired(boolean) [ERROR] location: class org.apache.commons.cli.Options [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
"commons-cli,commons-cli,1.2",org\apache\commons\cli\PatternOptionBuilder.java,PatternOptionBuilderTest,compile,generic_type_mismatch,"Test.java:[18,38] incompatible types: char cannot be converted to java.lang.String [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java:[24,43] incompatible types: char cannot be converted to java.lang.String [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-cli/commons-cli/1.2/src/test/java/org/apache/commons/cli/PatternOptionBuilderTest.java:[31,43] incompatible types: char cannot be converted to java.lang.String [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.squareup.retrofit2:converter-gson:3.0.0,retrofit2\converter\gson\GsonConverterFactory.java,GsonConverterFactoryTest,compile,cannot_find_symbol,"om.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonConverterFactoryTest.java:[66,12] GsonConverterFactory(com.google.gson.Gson,boolean) has private access in retrofit2.converter.gson.GsonConverterFactory [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonConverterFactoryTest.java:[70,12] cannot find symbol [ERROR] symbol: method mock(java.lang.Class<retrofit2.Retrofit>) [ERROR] location: class retrofit2.converter.gson.GsonConverterFactoryTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
com.squareup.retrofit2:converter-gson:3.0.0,retrofit2\converter\gson\GsonResponseBodyConverter.java,GsonResponseBodyConverterTest,compile,cannot_find_symbol,"nverter/gson/GsonResponseBodyConverterTest.java:[60,23] cannot find symbol [ERROR] symbol: method any(java.lang.Class<com.google.gson.stream.JsonReader>) [ERROR] location: class retrofit2.converter.gson.GsonResponseBodyConverterTest [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/com.squareup.retrofit2/converter-gson/3.0.0/src/test/java/retrofit2/converter/gson/GsonResponseBodyConverterTest.java:[61,5] cannot find symbol [ERROR] symbol: method when(com.google.gson.stream.JsonToken) [ERROR] location: class retrofit2.converter.gson.GsonResponseBodyConverterTest [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-logging:commons-logging:1.2,org\apache\commons\logging\impl\AvalonLogger.java,AvalonLoggerTest,compile,other_compile_error,"5] method does not override or implement a method from a supertype [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/AvalonLoggerTest.java:[103,5] method does not override or implement a method from a supertype [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/AvalonLoggerTest.java:[114,5] method does not override or implement a method from a supertype [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
commons-logging:commons-logging:1.2,org\apache\commons\logging\impl\Jdk13LumberjackLogger.java,Jdk13LumberjackLoggerTest,compile,other_compile_error,"le) in org.apache.commons.logging.Log [ERROR] Failed to execute goal org.apache.maven.plugins:maven-compiler-plugin:3.11.0:testCompile (default-testCompile) on project commons-logging: Compilation failure [ERROR] /C:/Users/minhn/Documents/CSE Year 3/Research Project/llm-test-generation/libraries_sample/commons-logging/commons-logging/1.2/src/test/java/org/apache/commons/logging/impl/Jdk13LumberjackLoggerTest.java:[58,1] org.apache.commons.logging.impl.Jdk13LumberjackLogger is not abstract and does not override abstract method warn(java.lang.Object,java.lang.Throwable) in org.apache.commons.logging.Log [ERROR] [ERROR] -> [Help 1] [ERROR] [ERROR] To see the full stack trace of the errors, re-run Maven with the -e switch. [ERROR] Re-run Maven using the -X switch to enable full debug logging. [ERROR] [ERROR] For more information about the errors and possible solutions, please read the following articles: [ERROR] [Help 1] http://cwiki.apache.org/confluence/display/MAVEN/MojoFailureException"
